SSID,BSSID,Encryption,latitude,longitude,Channel,Frequency,Last Update
DIRECT-roku-4V1-D175C3,be:61:e9:0b:1b:a4,wpa2,31.89447555,-102.2979521,149,,11/11/24 23:59
CR MISSION 16,fc:77:7b:c1:82:d8,wpa2,31.89447555,-102.2979521,6,,11/11/24 23:59
ARRIS-D16D-5G,24:94:cb:59:45:e0,wpa2,31.89423272,-102.2978327,149,,11/11/24 23:59
swiftwifi,ec:c3:02:83:9f:a8,wpa2,31.89417067,-102.2978068,36,,11/11/24 23:59
CODA-3B70-5G,86:0b:7c:34:3b:70,wpa2,31.89417067,-102.2978068,153,,11/11/24 23:59
,32:8d:cb:7a:6a:17,wpa2,31.89410693,-102.2977828,104,,11/11/24 23:59
,b6:dc:77:5c:05:e4,wpa2,31.89346712,-102.2975581,44,,11/11/24 23:59
BILLY HEXT GUEST,b8:37:b2:c8:e9:03,wpa2,31.89346712,-102.2975581,6,,11/11/24 23:59
BHRCOC,b6:dc:77:3c:05:e4,wpa2,31.89346712,-102.2975581,44,,11/11/24 23:59
,b8:37:b2:c9:49:51,wpa2,31.89346712,-102.2975581,36,,11/11/24 23:59
BHRcoc,b8:37:b2:c9:49:52,wpa2,31.89346712,-102.2975581,36,,11/11/24 23:59
BHRcoc,b8:37:b2:c8:e9:02,wpa2,31.89346712,-102.2975581,6,,11/11/24 23:59
BILLY HEXT GUEST,b8:37:b2:c9:49:53,wpa2,31.89346712,-102.2975581,36,,11/11/24 23:59
DIRECT-roku-K91-F62CAA,be:61:e9:07:ca:b6,wpa2,31.89346712,-102.2975581,149,,11/11/24 23:59
BILLY HEXT GUEST,b8:37:b2:c9:7e:53,wpa2,31.89346712,-102.2975581,149,,11/11/24 23:59
CR MISSION 16,fe:77:7b:c1:82:d0,wpa2,31.89346712,-102.2975581,36,,11/11/24 23:59
easttowerswfs5,00:21:a4:31:c9:42,open,31.89346712,-102.2975581,60,,11/11/24 23:59
BHRcoc,b8:37:b2:c9:7e:52,wpa2,31.89346712,-102.2975581,149,,11/11/24 23:59
,be:61:e9:0b:1a:5a,wpa2,31.89346712,-102.2975581,149,,11/11/24 23:59
UHC_v2,02:8d:db:7a:6a:17,wpa2,31.89346712,-102.2975581,11,,11/11/24 23:59
ATTKJTIXi2,e6:a9:40:d1:25:53,wpa2,31.89346712,-102.2975581,157,,11/11/24 23:59
,b8:37:b2:c8:e9:11,wpa2,31.89346712,-102.2975581,132,,11/11/24 23:59
BHRcoc,b8:37:b2:c8:e9:12,wpa2,31.89346712,-102.2975581,132,,11/11/24 23:59
BHRcoc,b8:37:b2:c9:49:42,wpa2,31.89346712,-102.2975581,1,,11/11/24 23:59
BILLY HEXT GUEST,b8:37:b2:c8:e9:13,wpa2,31.89346712,-102.2975581,132,,11/11/24 23:59
BillyHextcoC1,08:36:c9:77:24:a6,wpa2,31.89346712,-102.2975581,48,,11/11/24 23:59
,08:36:c9:77:24:a7,wpa2,31.89346712,-102.2975581,157,,11/11/24 23:59
BHRCOC,b6:dc:77:2c:05:e4,wpa2,31.89346712,-102.2975581,1,,11/11/24 23:59
BHRcoc,b8:37:b2:c9:7e:42,wpa2,31.89346712,-102.2975581,11,,11/11/24 23:59
DIRECT-roku-4V1-D175C3,be:61:e9:0b:1b:a4,wpa2,31.89346712,-102.2975581,149,,11/11/24 23:59
CR MISSION 16,fc:77:7b:c1:82:d8,wpa2,31.89346712,-102.2975581,6,,11/11/24 23:59
ARRIS-D16D-5G,24:94:cb:59:45:e0,wpa2,31.89321269,-102.2974647,149,,11/11/24 23:59
swiftwifi,ec:c3:02:83:9f:a8,wpa2,31.89315012,-102.2974413,36,,11/11/24 23:59
CODA-3B70-5G,86:0b:7c:34:3b:70,wpa2,31.89315012,-102.2974413,153,,11/11/24 23:59
,32:8d:cb:7a:6a:17,wpa2,31.89308711,-102.2974174,104,,11/11/24 23:59
,b6:dc:77:5c:05:e4,wpa2,31.89245585,-102.2972088,44,,11/11/24 23:59
BILLY HEXT GUEST,b8:37:b2:c8:e9:03,wpa2,31.89245585,-102.2972088,6,,11/11/24 23:59
BHRCOC,b6:dc:77:3c:05:e4,wpa2,31.89245585,-102.2972088,44,,11/11/24 23:59
,b8:37:b2:c9:49:51,wpa2,31.89245585,-102.2972088,36,,11/11/24 23:59
BHRcoc,b8:37:b2:c9:49:52,wpa2,31.89245585,-102.2972088,36,,11/11/24 23:59
BHRcoc,b8:37:b2:c8:e9:02,wpa2,31.89245585,-102.2972088,6,,11/11/24 23:59
BILLY HEXT GUEST,b8:37:b2:c9:49:53,wpa2,31.89245585,-102.2972088,36,,11/11/24 23:59
DIRECT-roku-K91-F62CAA,be:61:e9:07:ca:b6,wpa2,31.89245585,-102.2972088,149,,11/11/24 23:59
BILLY HEXT GUEST,b8:37:b2:c9:7e:53,wpa2,31.89245585,-102.2972088,149,,11/11/24 23:59
CR MISSION 16,fe:77:7b:c1:82:d0,wpa2,31.89245585,-102.2972088,36,,11/11/24 23:59
easttowerswfs5,00:21:a4:31:c9:42,open,31.89245585,-102.2972088,60,,11/11/24 23:59
BHRcoc,b8:37:b2:c9:7e:52,wpa2,31.89245585,-102.2972088,149,,11/11/24 23:59
,be:61:e9:0b:1a:5a,wpa2,31.89245585,-102.2972088,149,,11/11/24 23:59
UHC_v2,02:8d:db:7a:6a:17,wpa2,31.89245585,-102.2972088,11,,11/11/24 23:59
ATTKJTIXi2,e6:a9:40:d1:25:53,wpa2,31.89245585,-102.2972088,157,,11/11/24 23:59
,b8:37:b2:c8:e9:11,wpa2,31.89245585,-102.2972088,132,,11/11/24 23:59
BHRcoc,b8:37:b2:c8:e9:12,wpa2,31.89245585,-102.2972088,132,,11/11/24 23:59
BHRcoc,b8:37:b2:c9:49:42,wpa2,31.89245585,-102.2972088,1,,11/11/24 23:59
BILLY HEXT GUEST,b8:37:b2:c8:e9:13,wpa2,31.89245585,-102.2972088,132,,11/11/24 23:59
BillyHextcoC1,08:36:c9:77:24:a6,wpa2,31.89245585,-102.2972088,48,,11/11/24 23:59
,08:36:c9:77:24:a7,wpa2,31.89245585,-102.2972088,157,,11/11/24 23:59
BHRCOC,b6:dc:77:2c:05:e4,wpa2,31.89245585,-102.2972088,1,,11/11/24 23:59
BHRcoc,b8:37:b2:c9:7e:42,wpa2,31.89245585,-102.2972088,11,,11/11/24 23:59
DIRECT-roku-4V1-D175C3,be:61:e9:0b:1b:a4,wpa2,31.89245585,-102.2972088,149,,11/11/24 23:59
CR MISSION 16,fc:77:7b:c1:82:d8,wpa2,31.89245585,-102.2972088,6,,11/11/24 23:59
ARRIS-D16D-5G,24:94:cb:59:45:e0,wpa2,31.89215827,-102.2971049,149,,11/11/24 23:59
swiftwifi,ec:c3:02:83:9f:a8,wpa2,31.89209965,-102.2970816,36,,11/11/24 23:59
CODA-3B70-5G,86:0b:7c:34:3b:70,wpa2,31.89209965,-102.2970816,153,,11/11/24 23:59
,32:8d:cb:7a:6a:17,wpa2,31.89204351,-102.2970604,104,,11/11/24 23:59
CGNM-5C08-5G,fa:1d:0f:94:5c:00,wpa2,31.89190499,-102.2970065,44,,11/11/24 23:59
cox,e2:cb:ac:96:c8:eb,wpa2,31.89190499,-102.2970065,64,,11/11/24 23:59
DIRECT-VyM2020 Series,32:cd:a7:8c:31:67,wpa2,31.89190499,-102.2970065,11,,11/11/24 23:59
DIRECT-14-HP OfficeJet 5200,fa:b4:6a:ca:35:14,wpa2,31.89190499,-102.2970065,11,,11/11/24 23:59
Ring-cedd9a,96:48:6c:ce:dd:9a,open,31.89190499,-102.2970065,1,,11/11/24 23:59
CGNM-5C08,f8:1d:0f:94:5c:08,wpa2,31.89190499,-102.2970065,1,,11/11/24 23:59
WKI-Wireless,90:09:d0:12:91:b6,wpa2,31.89190499,-102.2970065,44,,11/11/24 23:59
,b2:fb:e4:17:2e:4e,wpa2,31.89190499,-102.2970065,1,,11/11/24 23:59
cox,e0:cb:bc:96:c8:eb,wpa2,31.89190499,-102.2970065,1,,11/11/24 23:59
CGNM-5C08-5G,fa:1d:0f:94:5c:00,wpa2,31.89086028,-102.2966086,44,,11/12/24 0:00
cox,e2:cb:ac:96:c8:eb,wpa2,31.89086028,-102.2966086,64,,11/12/24 0:00
DIRECT-VyM2020 Series,32:cd:a7:8c:31:67,wpa2,31.89086028,-102.2966086,11,,11/12/24 0:00
DIRECT-14-HP OfficeJet 5200,fa:b4:6a:ca:35:14,wpa2,31.89086028,-102.2966086,11,,11/12/24 0:00
Ring-cedd9a,96:48:6c:ce:dd:9a,open,31.89086028,-102.2966086,1,,11/12/24 0:00
CGNM-5C08,f8:1d:0f:94:5c:08,wpa2,31.89086028,-102.2966086,1,,11/12/24 0:00
WKI-Wireless,90:09:d0:12:91:b6,wpa2,31.89086028,-102.2966086,44,,11/12/24 0:00
,b2:fb:e4:17:2e:4e,wpa2,31.89086028,-102.2966086,1,,11/12/24 0:00
cox,e0:cb:bc:96:c8:eb,wpa2,31.89086028,-102.2966086,1,,11/12/24 0:00
CGNM-5C08-5G,fa:1d:0f:94:5c:00,wpa2,31.88983532,-102.2962652,44,,11/12/24 0:00
cox,e2:cb:ac:96:c8:eb,wpa2,31.88983532,-102.2962652,64,,11/12/24 0:00
DIRECT-VyM2020 Series,32:cd:a7:8c:31:67,wpa2,31.88983532,-102.2962652,11,,11/12/24 0:00
DIRECT-14-HP OfficeJet 5200,fa:b4:6a:ca:35:14,wpa2,31.88983532,-102.2962652,11,,11/12/24 0:00
Ring-cedd9a,96:48:6c:ce:dd:9a,open,31.88983532,-102.2962652,1,,11/12/24 0:00
CGNM-5C08,f8:1d:0f:94:5c:08,wpa2,31.88983532,-102.2962652,1,,11/12/24 0:00
WKI-Wireless,90:09:d0:12:91:b6,wpa2,31.88983532,-102.2962652,44,,11/12/24 0:00
,b2:fb:e4:17:2e:4e,wpa2,31.88983532,-102.2962652,1,,11/12/24 0:00
cox,e0:cb:bc:96:c8:eb,wpa2,31.88983532,-102.2962652,1,,11/12/24 0:00
RAMA-ITI-PHONES,c6:fb:e4:f8:f3:ca,open,31.88931,-102.2960867,153,,11/12/24 0:00
RAMA-ITI-GUEST,c2:fb:e4:f8:f3:ca,open,31.88931,-102.2960867,153,,11/12/24 0:00
RAMA-ITI-OFFICE,b4:fb:e4:f8:f3:ca,wpa2,31.88931,-102.2960867,153,,11/12/24 0:00
RAMA-ITI-WORKMAX,ba:fb:e4:f8:f3:ca,wpa2,31.88931,-102.2960867,153,,11/12/24 0:00
RAMA-ITI-YARD,be:fb:e4:f8:f3:ca,wpa2,31.88931,-102.2960867,153,,11/12/24 0:00
CODA-27F0,90:aa:c3:2d:27:f8,wpa2,31.88895517,-102.2959689,6,,11/12/24 0:00
easttowerswfs5,00:21:a4:31:c9:42,open,31.88895517,-102.2959689,60,,11/12/24 0:00
RAMA-ITI-PHONES,c6:fb:e4:f8:f3:ca,open,31.88895517,-102.2959689,153,,11/12/24 0:00
RAMA-ITI-YARD,be:fb:e4:f8:f3:ca,wpa2,31.88895517,-102.2959689,153,,11/12/24 0:00
,ca:fb:e4:f8:f3:ca,wpa2,31.88861164,-102.2958585,153,,11/12/24 0:00
PROJ9512e0,2a:38:5c:95:12:e0,wpa2,31.88861164,-102.2958585,149,,11/12/24 0:00
Motive AABL36MD091782,00:25:ca:81:18:b1,wpa2,31.88828209,-102.29575,6,,11/12/24 0:00
CRN_000000000000123091100218,f8:9e:94:2f:37:26,wpa2,31.88828209,-102.29575,6,,11/12/24 0:00
Flintstone,3a:0f:eb:4f:50:97,wpa2,31.88828209,-102.29575,1,,11/12/24 0:00
,0a:80:ae:0f:23:5f,wpa2,31.88796585,-102.2956482,1,,11/12/24 0:00
RAMA-ITI-OFFICE,b4:fb:e4:f8:f3:ca,wpa2,31.88796585,-102.2956482,153,,11/12/24 0:00
RAMA-ITI-WORKMAX,ba:fb:e4:f8:f3:ca,wpa2,31.88796585,-102.2956482,153,,11/12/24 0:00
SYNC_XU1373YY,00:26:b4:9a:2e:4c,wpa2,31.88796585,-102.2956482,1,,11/12/24 0:00
Motive AABL36MD092310,00:25:ca:81:84:83,wpa2,31.88796585,-102.2956482,6,,11/12/24 0:00
RAMA-ITI-GUEST,c2:fb:e4:f8:f3:ca,open,31.88796585,-102.2956482,153,,11/12/24 0:00
CRN_000000000000123091100218,f8:9e:94:2f:37:26,wpa2,31.88727123,-102.2954473,6,,11/12/24 0:00
Motive AABL36MD091782,00:25:ca:81:18:b1,wpa2,31.88727123,-102.2954473,6,,11/12/24 0:00
,0a:80:ae:0f:23:5f,wpa2,31.88691694,-102.2953661,1,,11/12/24 0:00
RAMA-ITI-OFFICE,b4:fb:e4:f8:f3:ca,wpa2,31.88691694,-102.2953661,153,,11/12/24 0:00
RAMA-ITI-WORKMAX,ba:fb:e4:f8:f3:ca,wpa2,31.88691694,-102.2953661,153,,11/12/24 0:00
SYNC_XU1373YY,00:26:b4:9a:2e:4c,wpa2,31.88691694,-102.2953661,1,,11/12/24 0:00
Motive AABL36MD092310,00:25:ca:81:84:83,wpa2,31.88691694,-102.2953661,6,,11/12/24 0:00
RAMA-ITI-GUEST,c2:fb:e4:f8:f3:ca,open,31.88691694,-102.2953661,153,,11/12/24 0:00
CRN_000000000000123091100218,f8:9e:94:2f:37:26,wpa2,31.88626073,-102.2951162,6,,11/12/24 0:00
Motive AABL36MD091782,00:25:ca:81:18:b1,wpa2,31.88626073,-102.2951162,6,,11/12/24 0:00
,0a:80:ae:0f:23:5f,wpa2,31.88588484,-102.2950003,1,,11/12/24 0:01
RAMA-ITI-OFFICE,b4:fb:e4:f8:f3:ca,wpa2,31.88588484,-102.2950003,153,,11/12/24 0:01
RAMA-ITI-WORKMAX,ba:fb:e4:f8:f3:ca,wpa2,31.88588484,-102.2950003,153,,11/12/24 0:01
SYNC_XU1373YY,00:26:b4:9a:2e:4c,wpa2,31.88588484,-102.2950003,1,,11/12/24 0:01
Motive AABL36MD092310,00:25:ca:81:84:83,wpa2,31.88588484,-102.2950003,6,,11/12/24 0:01
RAMA-ITI-GUEST,c2:fb:e4:f8:f3:ca,open,31.88588484,-102.2950003,153,,11/12/24 0:01
CRN_000000000000123091100218,f8:9e:94:2f:37:26,wpa2,31.88520761,-102.2947802,6,,11/12/24 0:01
Motive AABL36MD091782,00:25:ca:81:18:b1,wpa2,31.88520761,-102.2947802,6,,11/12/24 0:01
,0a:80:ae:0f:23:5f,wpa2,31.8848816,-102.2946772,1,,11/12/24 0:01
RAMA-ITI-OFFICE,b4:fb:e4:f8:f3:ca,wpa2,31.8848816,-102.2946772,153,,11/12/24 0:01
RAMA-ITI-WORKMAX,ba:fb:e4:f8:f3:ca,wpa2,31.8848816,-102.2946772,153,,11/12/24 0:01
SYNC_XU1373YY,00:26:b4:9a:2e:4c,wpa2,31.8848816,-102.2946772,1,,11/12/24 0:01
Motive AABL36MD092310,00:25:ca:81:84:83,wpa2,31.8848816,-102.2946772,6,,11/12/24 0:01
RAMA-ITI-GUEST,c2:fb:e4:f8:f3:ca,open,31.8848816,-102.2946772,153,,11/12/24 0:01
CRN_000000000000123091100218,f8:9e:94:2f:37:26,wpa2,31.88418318,-102.2944523,6,,11/12/24 0:01
Motive AABL36MD091782,00:25:ca:81:18:b1,wpa2,31.88418318,-102.2944523,6,,11/12/24 0:01
,0a:80:ae:0f:23:5f,wpa2,31.8838728,-102.2943502,1,,11/12/24 0:01
RAMA-ITI-OFFICE,b4:fb:e4:f8:f3:ca,wpa2,31.8838728,-102.2943502,153,,11/12/24 0:01
RAMA-ITI-WORKMAX,ba:fb:e4:f8:f3:ca,wpa2,31.8838728,-102.2943502,153,,11/12/24 0:01
SYNC_XU1373YY,00:26:b4:9a:2e:4c,wpa2,31.8838728,-102.2943502,1,,11/12/24 0:01
Motive AABL36MD092310,00:25:ca:81:84:83,wpa2,31.8838728,-102.2943502,6,,11/12/24 0:01
RAMA-ITI-GUEST,c2:fb:e4:f8:f3:ca,open,31.8838728,-102.2943502,153,,11/12/24 0:01
CRN_000000000000123091100218,f8:9e:94:2f:37:26,wpa2,31.88312944,-102.2941066,6,,11/12/24 0:01
Motive AABL36MD091782,00:25:ca:81:18:b1,wpa2,31.88312944,-102.2941066,6,,11/12/24 0:01
My VW 4768,fa:38:69:b7:2d:93,wpa2,31.88288975,-102.294113,6,,11/12/24 0:01
lxzdc,00:1e:c0:1b:da:b9,open,31.88288975,-102.294113,6,,11/12/24 0:01
myGMC 40C1,fa:6d:cc:ed:40:c1,wpa2,31.88288975,-102.294113,44,,11/12/24 0:01
myGMC 40C1,fa:6d:cc:8d:40:c1,wpa2,31.88288975,-102.294113,7,,11/12/24 0:01
Verizon-E146,e4:f7:5b:47:e1:42,wpa2,31.88288975,-102.294113,1,,11/12/24 0:01
ATTKvXBKqN,48:41:7b:1d:20:e4,wpa2,31.88288975,-102.294113,1,,11/12/24 0:01
My VW 4768,fa:38:69:b7:2d:93,wpa2,31.88229342,-102.2952078,6,,11/12/24 0:02
lxzdc,00:1e:c0:1b:da:b9,open,31.88229342,-102.2952078,6,,11/12/24 0:02
myGMC 40C1,fa:6d:cc:ed:40:c1,wpa2,31.88229342,-102.2952078,44,,11/12/24 0:02
myGMC 40C1,fa:6d:cc:8d:40:c1,wpa2,31.88229342,-102.2952078,7,,11/12/24 0:02
Verizon-E146,e4:f7:5b:47:e1:42,wpa2,31.88229342,-102.2952078,1,,11/12/24 0:02
ATTKvXBKqN,48:41:7b:1d:20:e4,wpa2,31.88229342,-102.2952078,1,,11/12/24 0:02
My VW 4768,fa:38:69:b7:2d:93,wpa2,31.88175189,-102.2962517,6,,11/12/24 0:02
lxzdc,00:1e:c0:1b:da:b9,open,31.88175189,-102.2962517,6,,11/12/24 0:02
myGMC 40C1,fa:6d:cc:ed:40:c1,wpa2,31.88175189,-102.2962517,44,,11/12/24 0:02
myGMC 40C1,fa:6d:cc:8d:40:c1,wpa2,31.88175189,-102.2962517,7,,11/12/24 0:02
Verizon-E146,e4:f7:5b:47:e1:42,wpa2,31.88175189,-102.2962517,1,,11/12/24 0:02
ATTKvXBKqN,48:41:7b:1d:20:e4,wpa2,31.88175189,-102.2962517,1,,11/12/24 0:02
myChevrolet A14C,fa:6d:cc:f6:a1:4c,wpa2,31.88104992,-102.2975575,7,,11/12/24 0:02
Hotspot8FD1,00:54:af:68:8f:d1,wpa2,31.88104992,-102.2975575,8,,11/12/24 0:02
Citadel FM 5 GHz,d8:ec:5e:18:2c:54,wpa2,31.88104992,-102.2975575,157,,11/12/24 0:02
myGMC 40C1,fa:6d:cc:8d:40:c1,wpa2,31.88088116,-102.2978832,7,,11/12/24 0:02
OYO Hotel Odessa,02:ec:da:be:93:19,wpa2,31.88088116,-102.2978832,36,,11/12/24 0:02
MS-Staff,de:9f:db:f7:fd:0f,wpa2,31.88088116,-102.2978832,1,,11/12/24 0:02
myGMC 40C1,fa:6d:cc:ed:40:c1,wpa2,31.8806589,-102.2983089,44,,11/12/24 0:02
myGMC 40C1,fa:6d:cc:8d:40:c1,wpa2,31.8806589,-102.2983089,7,,11/12/24 0:02
Cemetery _EXT,f0:a7:31:66:83:0c,wpa2,31.88055149,-102.2985208,11,,11/12/24 0:02
OYO Hotel Odessa,02:ec:da:bd:93:19,wpa2,31.88055149,-102.2985208,1,,11/12/24 0:02
MS-Guest,dc:9f:db:f7:fd:0f,wpa2,31.88055149,-102.2985208,1,,11/12/24 0:02
GVPrivate,fc:ec:da:bd:93:19,wpa2,31.88055149,-102.2985208,1,,11/12/24 0:02
Ferguson Guest WiFi,e6:cb:ac:49:39:e7,open,31.88055149,-102.2985208,48,,11/12/24 0:02
OYO Hotel Odessa,02:ec:da:be:93:19,wpa2,31.88055149,-102.2985208,36,,11/12/24 0:02
WOS,e2:cb:ac:49:39:e7,wpa2,31.88055149,-102.2985208,48,,11/12/24 0:02
GVPrivate,fc:ec:da:be:93:19,wpa2,31.88055149,-102.2985208,36,,11/12/24 0:02
myGMC 40C1,fa:6d:cc:8d:40:c1,wpa2,31.88013748,-102.2993689,7,,11/12/24 0:02
Cemetery _EXT,f0:a7:31:66:83:0c,wpa2,31.88004834,-102.2995398,11,,11/12/24 0:02
OYO Hotel Odessa,02:ec:da:bd:93:19,wpa2,31.88004834,-102.2995398,1,,11/12/24 0:02
MS-Guest,dc:9f:db:f7:fd:0f,wpa2,31.88004834,-102.2995398,1,,11/12/24 0:02
GVPrivate,fc:ec:da:bd:93:19,wpa2,31.88004834,-102.2995398,1,,11/12/24 0:02
Ferguson Guest WiFi,e6:cb:ac:49:39:e7,open,31.88004834,-102.2995398,48,,11/12/24 0:02
OYO Hotel Odessa,02:ec:da:be:93:19,wpa2,31.88004834,-102.2995398,36,,11/12/24 0:02
WOS,e2:cb:ac:49:39:e7,wpa2,31.88004834,-102.2995398,48,,11/12/24 0:02
GVPrivate,fc:ec:da:be:93:19,wpa2,31.88004834,-102.2995398,36,,11/12/24 0:02
ADVhighway20_2G,d4:5d:64:88:42:e8,wpa2,31.87959483,-102.3004342,8,,11/12/24 0:02
ADVhighway20_2G_Guest,d4:5d:64:88:42:e9,wpa2,31.87959483,-102.3004342,8,,11/12/24 0:02
ATTCiaMRtJ,d0:fc:d0:1c:34:a4,wpa2,31.87959483,-102.3004342,11,,11/12/24 0:02
MS-Guest,dc:9f:db:f7:fd:0f,wpa2,31.87959483,-102.3004342,1,,11/12/24 0:02
,ee:9f:db:f7:fd:0f,wpa2,31.87959483,-102.3004342,1,,11/12/24 0:02
ADVhighway20_5G,d4:5d:64:88:42:ec,wpa2,31.87959483,-102.3004342,153,,11/12/24 0:02
MS-Staff,de:9f:db:f7:fd:0f,wpa2,31.87959483,-102.3004342,1,,11/12/24 0:02
ADVhighway20_5G_Guest,d4:5d:64:88:42:ed,wpa2,31.87959483,-102.3004342,153,,11/12/24 0:02
,60:f4:19:3c:45:44,unknown,31.87950009,-102.301272,104,,11/12/24 0:03
Cass47,60:f4:19:3c:45:46,wpa2,31.87950009,-102.301272,6,,11/12/24 0:03
ATT ramiro,48:41:7b:3d:d6:1c,wpa2,31.87950009,-102.301272,132,,11/12/24 0:03
ExtraSpaceStorage - guest,fe:9e:28:76:3c:87,open,31.87950009,-102.301272,11,,11/12/24 0:03
ATTrYCHxjT,f8:9b:6e:7a:b6:d4,wpa2,31.87950009,-102.301272,6,,11/12/24 0:03
Cass47,60:f4:19:3c:45:47,wpa2,31.87950009,-102.301272,104,,11/12/24 0:03
Verizon_G33X7R,4c:ab:f8:ee:3d:43,wpa2,31.87950009,-102.301272,140,,11/12/24 0:03
ARRIS-B275-5G,2c:00:ab:f4:dc:0b,wpa2,31.87950009,-102.301272,48,,11/12/24 0:03
Dykeland,6c:4b:b4:1f:65:74,wpa2,31.87950009,-102.301272,6,,11/12/24 0:03
Dykeland,6c:4b:b4:1f:65:78,wpa2,31.87950009,-102.301272,52,,11/12/24 0:03
ATT6mDAGas,08:9b:b9:2d:d8:8c,wpa2,31.87950009,-102.301272,100,,11/12/24 0:03
Verizon_JSL6KH,58:96:71:52:bd:c6,wpa2,31.87950009,-102.301272,1,,11/12/24 0:03
ExtraSpaceStorage,fa:9e:38:76:3c:87,wpa2,31.87950009,-102.301272,153,,11/12/24 0:03
arsenal,40:47:5e:05:20:46,wpa2,31.87950009,-102.301272,6,,11/12/24 0:03
araknis_initial,d4:6a:91:c4:61:81,open,31.87950009,-102.301272,6,,11/12/24 0:03
,fc:3f:a6:00:93:ca,open,31.87950009,-102.301272,100,,11/12/24 0:03
arsenal,40:47:5e:05:20:47,wpa2,31.87950009,-102.301272,100,,11/12/24 0:03
,40:47:5e:05:20:44,unknown,31.87950009,-102.301272,100,,11/12/24 0:03
,ee:9f:db:f7:fd:0f,wpa2,31.87950009,-102.301272,1,,11/12/24 0:03
DIRECT-QWFAC1941-J0DWSCXQOSI,92:cc:df:99:d2:bb,wpa2,31.87950009,-102.301272,153,,11/12/24 0:03
,40:47:5e:05:20:49,open,31.87950009,-102.301272,6,,11/12/24 0:03
,08:9b:b9:2d:d8:8f,wpa2,31.87950009,-102.301272,100,,11/12/24 0:03
,46:50:dd:44:c9:cc,wpa2,31.87950009,-102.301272,48,,11/12/24 0:03
,40:47:5e:05:20:43,unknown,31.87950009,-102.301272,6,,11/12/24 0:03
FROSTY29,f8:9b:6e:1d:ea:0c,wpa2,31.87950009,-102.301272,100,,11/12/24 0:03
,f8:9b:6e:1d:ea:0f,wpa2,31.87950009,-102.301272,100,,11/12/24 0:03
ATT6mDAGas,08:9b:b9:2d:d8:88,wpa2,31.87950009,-102.301272,52,,11/12/24 0:03
Insane Asylum,bc:9a:8e:40:dd:98,wpa2,31.87950009,-102.301272,40,,11/12/24 0:03
Insane Asylum,bc:9a:8e:40:dd:94,wpa2,31.87950009,-102.301272,1,,11/12/24 0:03
Labios rojos,f8:9b:6e:75:52:64,wpa2,31.87950009,-102.301272,1,,11/12/24 0:03
Jennygirl,14:55:b9:47:3b:e4,wpa2,31.87950009,-102.301272,6,,11/12/24 0:03
,60:f4:19:3c:45:4a,open,31.87950009,-102.301272,104,,11/12/24 0:03
ATTxDns4Hw,f8:9b:6e:2f:9e:64,wpa2,31.87950009,-102.301272,11,,11/12/24 0:03
ADVhighway20_5G,d4:5d:64:88:42:ec,wpa2,31.87950009,-102.301272,153,,11/12/24 0:03
Conaway Modem,fc:3f:a6:00:93:c6,wpa2,31.87950009,-102.301272,6,,11/12/24 0:03
ADVhighway20_5G_Guest,d4:5d:64:88:42:ed,wpa2,31.87950009,-102.301272,153,,11/12/24 0:03
,ae:ae:19:d6:e9:9a,wpa2,31.87950009,-102.301272,1,,11/12/24 0:03
,56:ab:f8:ee:3d:43,wpa2,31.87950009,-102.301272,140,,11/12/24 0:03
ATTxDns4Hw,f8:9b:6e:2f:9e:6c,wpa2,31.87950009,-102.301272,153,,11/12/24 0:03
,f8:9b:6e:2f:9e:6f,wpa2,31.87950009,-102.301272,153,,11/12/24 0:03
MS-Staff,de:9f:db:f7:fd:0f,wpa2,31.87950009,-102.301272,1,,11/12/24 0:03
Bill wi the science fi,f8:9b:6e:47:c7:0c,wpa2,31.87950009,-102.301272,161,,11/12/24 0:03
,40:47:5e:05:20:4a,open,31.87950009,-102.301272,100,,11/12/24 0:03
ATT ramiro,48:41:7b:3d:d6:18,wpa2,31.87950009,-102.301272,52,,11/12/24 0:03
ATT rami Guests,48:41:7b:3d:d6:15,wpa2,31.87950009,-102.301272,1,,11/12/24 0:03
MolshisWifi,e0:1f:2b:10:fb:64,wpa2,31.87950009,-102.301272,1,,11/12/24 0:03
ExtraSpaceStorage - guest,fe:9e:38:76:3c:87,open,31.87950009,-102.301272,153,,11/12/24 0:03
Verizon_LZHL9Y,58:96:71:2a:17:22,wpa2,31.87950009,-102.301272,6,,11/12/24 0:03
ExtraSpaceStorage,f8:9e:28:76:3c:87,wpa2,31.87950009,-102.301272,11,,11/12/24 0:03
MS-Guest,dc:9f:db:f7:fd:0f,wpa2,31.88000098,-102.3014367,1,,11/12/24 0:03
ATTVyXuHca,bc:9a:8e:39:1e:68,wpa2,31.88049095,-102.3016312,48,,11/12/24 0:03
ARRIS-48D1-5G,78:6a:1f:92:1d:0c,wpa2,31.88049095,-102.3016312,48,,11/12/24 0:03
ARRIS-F399-5G,8c:5a:25:10:7c:85,wpa2,31.88049095,-102.3016312,36,,11/12/24 0:03
,42:9e:9d:17:c4:7d,wpa2,31.88049095,-102.3016312,161,,11/12/24 0:03
ATTrYCHxjT,f8:9b:6e:7a:b6:d8,wpa2,31.88049095,-102.3016312,52,,11/12/24 0:03
,36:19:4d:9c:4b:44,wpa2,31.88049095,-102.3016312,36,,11/12/24 0:03
